"year","player_name","tmID","GP","points_per_game","rebounds_per_game","assists_per_game","tall_data_efficiency_score","logistic_probability","random_forest_probability"
2000,"Paul Pierce","BOS",82,25.2560975609756,6.36585365853659,3.08536585365854,62.8008763208478,0.762784920431167,NA
1964,"Bailey Howell","BAL",80,19.175,10.8625,2.6,61.3417708757096,0.744011044609687,NA
1972,"Geoff Petrie","POR",79,24.9367088607595,3.45569620253165,4.43037974683544,62.5047194303074,0.739232556874948,NA
2007,"Carmelo Anthony","DEN",77,25.6883116883117,7.41558441558442,3.36363636363636,62.2535466027413,0.738556398246585,NA
1962,"Larry Staverman","KCS",31,20.9354838709677,8.35483870967742,3.12903225806452,62.5927328210511,0.73248657148914,NA
1976,"Artis Gilmore","CHI",82,18.6219512195122,13.0487804878049,2.42682926829268,64.482269238701,0.727466205852657,NA
1992,"Larry Johnson","CHH",82,22.0731707317073,10.5365853658537,4.30487804878049,65.10185810632,0.725311148071274,NA
1969,"Clem Haskins","CHI",82,20.3414634146341,4.60975609756098,7.60975609756098,65.5141518702602,0.720637127085188,NA
1969,"Earl Monroe","BAL",82,23.4390243902439,3.13414634146341,4.90243902439024,62.6505707341419,0.71854406701036,NA
1969,"Gail Goodrich","PHO",81,20.0493827160494,4.19753086419753,7.46913580246914,65.7635528458378,0.71801597680035,NA
1968,"Zelmo Beaty","ATL",72,21.4722222222222,11.0833333333333,1.81944444444444,61.231878554075,0.717260322043715,NA
2010,"Amare Stoudemire","NYK",78,25.2692307692308,8.15384615384615,2.58974358974359,62.9937809114906,0.701246736969201,NA
2004,"Shaquille O'Neal","MIA",73,22.8630136986301,10.4109589041096,2.73972602739726,64.3131631511708,0.699924167258775,NA
1959,"Kenny Sears","NYK",64,18.546875,13.6875,1.984375,60.3914968104194,0.687527616418195,NA
1984,"Mark Aguirre","DAL",80,25.6875,5.9625,3.1125,60.0064940025549,0.686638569538891,NA
1986,"Fat Lever","DEN",82,18.9268292682927,8.89024390243902,7.97560975609756,65.7978315612482,0.681067991843206,NA
1976,"Randy Smith","BUF",82,20.7073170731707,5.57317073170732,5.3780487804878,64.5526092298146,0.671455654262442,NA
1988,"Fat Lever","DEN",71,19.8450704225352,9.32394366197183,7.87323943661972,65.6061017448605,0.67084609832898,NA
1986,"Clyde Drexler","POR",82,21.7317073170732,6.31707317073171,6.90243902439024,63.256717408333,0.670077508580723,NA
1998,"Shareef Abdur-Rahim","VAN",50,23.04,7.48,3.44,63.1813236380828,0.668364429547685,NA
1972,"Rudy Tomjanovich","HOU",81,19.2592592592593,11.5802469135802,2.19753086419753,61.2535501485754,0.625669200459213,NA
1969,"Red Robbins","NOB",82,16.3658536585366,16.2439024390244,2.21951219512195,60.6361580097066,0.623499808049126,NA
1969,"Bob Love","CHI",82,21,8.68292682926829,1.80487804878049,60.1764300947717,0.61682416938967,NA
1978,"Bob McAdoo","NYK",40,26.9,9.475,3.2,60.9395125943377,0.61588001787534,NA
2008,"Antawn Jamison","WAS",81,22.2345679012346,8.90123456790123,1.88888888888889,62.9978383072492,0.614529802423078,NA
1992,"Derrick Coleman","NJN",76,20.6842105263158,11.2105263157895,3.63157894736842,62.3474258369001,0.612340534258699,NA
